location,time,variable,value,unit_measure,unit_mult,currency,price_base,reference_year,adjustment,transformation,obs_status,conf_status,base_period,decimals,series_key
AUS,1967-Q2,consumption,56251,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1967-Q3,consumption,57205,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1967-Q4,consumption,57735,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1968-Q1,consumption,59073,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1968-Q2,consumption,58946,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1968-Q3,consumption,59796,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1968-Q4,consumption,60729,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1969-Q1,consumption,62053,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1969-Q2,consumption,62794,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1969-Q3,consumption,63994,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1969-Q4,consumption,64903,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1970-Q1,consumption,65356,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1970-Q2,consumption,66141,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1970-Q3,consumption,66974,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1970-Q4,consumption,67697,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1971-Q1,consumption,67647,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1971-Q2,consumption,68189,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1971-Q3,consumption,69908,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1971-Q4,consumption,69563,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1972-Q1,consumption,69907,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1972-Q2,consumption,70855,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1972-Q3,consumption,71612,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1972-Q4,consumption,72413,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1973-Q1,consumption,74141,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1973-Q2,consumption,75211,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1973-Q3,consumption,76064,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1973-Q4,consumption,77160,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1974-Q1,consumption,79028,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1974-Q2,consumption,79544,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1974-Q3,consumption,81039,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1974-Q4,consumption,80519,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1975-Q1,consumption,82317,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1975-Q2,consumption,83009,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1975-Q3,consumption,82423,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1975-Q4,consumption,80816,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1976-Q1,consumption,82271,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1976-Q2,consumption,83902,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1976-Q3,consumption,85867,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1976-Q4,consumption,86793,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1977-Q1,consumption,86664,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1977-Q2,consumption,87531,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1977-Q3,consumption,87722,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1977-Q4,consumption,87790,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1978-Q1,consumption,88093,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1978-Q2,consumption,90060,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1978-Q3,consumption,89861,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1978-Q4,consumption,88945,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1979-Q1,consumption,89903,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1979-Q2,consumption,90306,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1979-Q3,consumption,90435,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1979-Q4,consumption,90811,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1980-Q1,consumption,91947,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
