"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1967-Q2","Q2-1967","AUD","Australian Dollar","6","millions",,,27904,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1967-Q3","Q3-1967","AUD","Australian Dollar","6","millions",,,28304,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1967-Q4","Q4-1967","AUD","Australian Dollar","6","millions",,,28876,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1968-Q1","Q1-1968","AUD","Australian Dollar","6","millions",,,29324,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1968-Q2","Q2-1968","AUD","Australian Dollar","6","millions",,,30076,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1968-Q3","Q3-1968","AUD","Australian Dollar","6","millions",,,30976,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1968-Q4","Q4-1968","AUD","Australian Dollar","6","millions",,,32636,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1969-Q1","Q1-1969","AUD","Australian Dollar","6","millions",,,33072,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1969-Q2","Q2-1969","AUD","Australian Dollar","6","millions",,,34112,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1969-Q3","Q3-1969","AUD","Australian Dollar","6","millions",,,35360,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1969-Q4","Q4-1969","AUD","Australian Dollar","6","millions",,,36236,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","AUD","Australian Dollar","6","millions",,,37124,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","AUD","Australian Dollar","6","millions",,,38552,,
