"method","start","end","truncated_gap","full_context_gap","difference"
"hp1600","1998-Q4","2015-Q1",0.29240052605931,0.265313365024248,-0.0270871610350625
"hp1600","1998-Q4","2019-Q4",0.26731435583782,0.0912639404588956,-0.176050415378925
"hp1600","1998-Q4","2025-Q2",0.00565005985681275,0.00493779762358631,-0.000712262233226436
"growth","1998-Q4","2015-Q1",0.263519213836007,0.263519213836007,0
"growth","1998-Q4","2019-Q4",0.248408101134925,0.248408101134925,0
"growth","1998-Q4","2025-Q2",0.0375481086069738,0.0375481086069738,0
"hamilton","1998-Q4","2015-Q1",0.265818462985528,0.323241184851193,0.0574227218656654
"hamilton","1998-Q4","2019-Q4",0.287221626774622,0.288675373864219,0.00145374708959761
"hamilton","1998-Q4","2025-Q2",0.00489514722992094,0.00888822582508871,0.00399307859516777
