"method","start","end","quarters","original_gap","current_gap","difference","difference_lower","difference_upper","block_length","repetitions"
"hp1600","1998-Q4","2015-Q1",66,0.351539265785076,0.29240052605931,-0.0591387397257663,-0.103898403203705,0.00756002654138878,8,1999
"growth","1998-Q4","2015-Q1",66,0.325115153295254,0.263519213836007,-0.0615959394592473,-0.100449941858256,-0.0201664118774975,8,1999
"hamilton","1998-Q4","2015-Q1",66,0.296476422489749,0.265818462985528,-0.0306579595042211,-0.0574112802336623,0.0116930864833911,8,1999
