method,start,end,truncated_gap,full_context_gap,difference
hp1600,1998-Q4,2015-Q1,0.29240052605634320,0.26531336499892577,-0.02708716105741743
hp1600,1998-Q4,2019-Q4,0.26731435583078667,0.09126394046251490,-0.17605041536827176
hp1600,1998-Q4,2025-Q2,0.00565005985620103,0.00493779762269139,-0.00071226223350964
growth,1998-Q4,2015-Q1,0.26351921383600713,0.26351921383600713,0.00000000000000000
growth,1998-Q4,2019-Q4,0.24840810113492498,0.24840810113492498,0.00000000000000000
growth,1998-Q4,2025-Q2,0.03754810860697382,0.03754810860697382,0.00000000000000000
hamilton,1998-Q4,2015-Q1,0.26581846298553452,0.32324118485117509,0.05742272186564057
hamilton,1998-Q4,2019-Q4,0.28722162677461938,0.28867537386419950,0.00145374708958013
hamilton,1998-Q4,2025-Q2,0.00489514722993167,0.00888822582507698,0.00399307859514531
