method,start,end,quarters,original_gap,current_gap,difference,difference_lower,difference_upper,block_length,repetitions
hp1600,1998-Q4,2015-Q1,66,0.35153926578816980,0.29240052605634320,-0.05913873973182660,-0.10389840319879294,0.00756002651162742,8,1999
growth,1998-Q4,2015-Q1,66,0.32511515329525442,0.26351921383600713,-0.06159593945924730,-0.10044994185825588,-0.02016641187749769,8,1999
hamilton,1998-Q4,2015-Q1,66,0.29647642248975081,0.26581846298553452,-0.03065795950421629,-0.05741128023364817,0.01169308648339976,8,1999
